C:\EngNCERP\eegdata\dat\vfocus512.NED	Frequency:	512Hz
²ÉÑù	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
0.027	38838.889	42317.576	-1966401.010	-2016509.091	-136792.525	42802.727	-2016509.091	-1866680.707	-2016509.091	-1627501.919	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	436580.707	-1995797.879	437442.323	-1866669.899	437605.253	-1744705.455	438403.939	-1686994.545	436597.980	-2016509.091	438318.081	437776.667	437377.172	-2016509.091	438076.970	-1920463.636	-2016509.091	-2016509.091	-2016509.091	-2016509.091	
0.029	13252.727	13317.576	-1438903.030	-1524072.222	-9387.273	13687.374	-1573551.717	-1342506.566	-1419860.707	-1155199.394	-1738769.899	-1453910.303	-1548886.465	-1567066.061	-1585592.828	-1837593.030	271156.263	-1413120.202	271883.434	-1313830.707	272070.303	-1242923.030	272789.293	-430731.616	271155.556	-1456003.737	272584.747	272079.899	271791.616	-1514803.434	272429.192	-1361960.808	-1750291.717	-1809931.818	-1531119.192	-1601130.101	
0.031	-12.020	-25.152	-551650.606	-517322.525	5.455	18.687	-457719.394	-510258.485	-378654.646	-387732.727	-410012.222	-430055.354	-472725.455	-599274.141	-530222.828	-576530.505	40201.313	-492532.828	40371.515	-451932.626	40465.960	-422694.949	40616.465	23651.818	40202.020	-524413.232	40583.232	40421.515	40355.657	-555513.333	40520.101	-522484.747	-612273.232	-535449.293	-510933.333	-720909.899	
0.033	-236.263	-265.556	-49485.960	-30600.505	-247.071	-234.141	-15592.323	-44792.525	-10076.768	-20244.646	-2384.545	-15567.273	-19021.414	-47542.020	-29680.202	-11528.283	-144.444	-32427.374	-150.000	-28280.101	-109.798	-25266.162	-175.253	-128.283	-145.859	-42196.162	-128.283	-137.980	-149.697	-45108.687	-152.323	-48537.778	-29751.919	-8851.414	-28036.566	-98366.768	
0.035	-240.101	-277.172	-184.141	-276.465	-255.960	-241.111	-212.727	-248.081	-135.556	-196.566	-140.303	-165.556	-123.535	-171.616	-165.556	-156.263	-167.475	-187.677	-172.828	-170.909	-131.919	-124.444	-198.990	-15244.646	-168.485	-213.939	-151.414	-160.101	-172.828	-134.343	-174.040	-184.343	-156.465	-118.990	-156.970	-558.889	
0.037	-1001.515	-434.141	-16993.434	-46959.293	-4579.899	-492.525	-28384.949	-27685.354	-19776.566	-3398.283	2942.525	-21136.263	-15214.848	-8778.990	-10814.040	3387.273	3580.505	-31359.192	3600.707	-22660.404	3658.687	-12819.495	3596.667	-347760.505	3578.586	-46136.162	3657.172	3613.434	3599.798	-36197.778	3628.384	-25000.808	611.515	3178.788	-10096.970	-2940.606	
0.039	-70088.283	-32915.859	-368301.111	-564587.677	-166381.919	-55144.545	-510590.505	-414012.020	-443851.717	-212534.242	-229485.051	-433716.263	-397775.152	-295588.081	-346831.313	-152192.020	114757.576	-442296.263	115153.232	-380319.192	115338.384	-309240.101	115452.323	-1452108.182	114752.020	-519591.010	115556.667	115175.657	115106.364	-486907.071	115511.414	-395689.394	-220101.414	-173845.455	-330431.717	-216435.253	
0.041	-321047.980	-165834.242	-1250180.101	-1576003.333	-621309.596	-293329.192	-1646086.869	-1247779.697	-1520281.717	-937174.040	-1558820.404	-1456847.778	-1465140.808	-1193386.869	-1362679.091	-1385969.495	353721.313	-1328865.758	354530.808	-1202740.909	354708.485	-1095041.111	355244.040	-2016509.091	353680.909	-1446151.515	355232.727	354682.222	354390.909	-1437734.949	355121.919	-1222831.313	-1316146.465	-1423256.869	-1313706.869	-1006704.141	
0.043	-207234.444	-10226.061	-1852985.354	-2016509.091	-550616.566	-153080.808	-2016509.091	-1804465.051	-2016509.091	-1486950.202	-2016509.091	-2016509.091	-2016509.091	-1890928.586	-2016509.091	-2016509.091	476305.960	-1943749.697	477209.697	-1789123.232	477338.788	-1654005.354	478126.869	-2016509.091	476301.414	-2016509.091	478046.970	477511.111	477082.727	-2016509.091	477824.646	-1823612.727	-2016509.091	-2016509.091	-1996547.879	-1692534.848	
0.045	-166286.465	87536.869	-2016509.091	-2016509.091	-482015.859	-79132.020	-2016509.091	-2013511.010	-2016509.091	-1721251.414	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	510542.626	-2016509.091	511369.899	-2016509.091	511504.747	-1862638.485	512363.737	-2016509.091	510550.808	-2016509.091	512271.616	511740.101	511317.778	-2016509.091	512035.859	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	
