C:\EngNCERP\eegdata\dat\vmultiamino.NED	Frequency:	128Hz
²ÉÑù	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
0.164	1314084.040	1309937.879	-1343459.091	-1379321.111	1300351.515	1301331.111	-1338746.869	-1366678.687	-1375601.818	-1376756.667	-1131128.182	-1379845.657	2016801.212	-1385415.758	1429465.051	-1387867.172	2016801.212	-1374987.778	2016801.212	2016801.212	2016801.212	-1379321.313	-1271154.646	-1387655.152	
0.172	1314199.495	1310650.606	891066.263	1001616.465	1300661.313	1301775.152	1125959.697	1022133.333	999364.646	1062577.879	1033745.354	1054591.919	2016801.212	1026388.687	1843172.727	1017432.222	2016801.212	1004094.848	2016801.212	2016801.212	2016801.212	1056200.707	1267200.505	961382.020	
0.180	1313651.111	1309996.970	2016801.212	2016801.212	1300406.566	1301379.697	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	
0.188	1312351.010	1308309.293	2011922.424	1950472.828	1299067.980	1299644.949	1867554.747	1941552.121	1983760.303	1943294.343	2016801.212	1951074.747	2016801.212	1961462.626	2016801.212	1969907.576	2016801.212	1972624.545	2016801.212	2016801.212	2016801.212	1932024.646	780069.495	1995004.545	
0.195	1313596.768	1309320.202	642583.838	80801.717	1300100.707	1300647.879	-264907.879	55768.384	192911.212	-45406.263	932248.889	-16046.667	2016801.212	39259.394	1964251.111	81519.798	2016801.212	122545.455	2016801.212	766636.465	2016801.212	-101832.727	-1542664.141	255608.788	
0.203	1311041.515	1306787.576	-1384364.949	-1484678.182	1297146.162	1297951.717	-1489205.657	-1478504.545	-1472249.293	-1497913.636	-1206300.404	-1498749.293	2016801.212	-1497101.010	1248050.101	-1495611.010	2016801.212	-1477544.444	1949359.697	-210901.818	2016801.212	-1491359.697	-1443231.818	-1473258.283	
0.211	1312289.899	1308083.131	559195.152	687225.960	1298514.040	1299393.939	796062.424	707680.707	698992.525	746492.323	729696.162	739039.495	2016801.212	716449.697	1668085.253	699990.909	2016801.212	722922.323	2016801.212	1608557.374	2016801.212	788693.030	1009118.586	661961.414	
0.219	1304980.202	1300645.051	1996064.646	2014151.212	1290663.939	1291320.000	2015490.303	2011245.253	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	
0.227	1308060.505	1303840.909	2016801.212	1999635.455	1294313.232	1294854.444	1947031.919	1992353.131	2016801.212	2004772.121	2016801.212	2009926.869	2016801.212	2015576.566	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	1998237.475	1170687.677	2016801.212	
0.234	1309939.293	1305569.495	964088.990	442918.889	1296078.788	1296707.475	103053.030	417480.101	532402.828	327780.303	1209789.798	355928.485	2016801.212	406026.970	1997805.455	445201.313	2016801.212	491912.525	2016801.212	711087.273	2016801.212	270238.889	-1335687.980	608363.030	
0.242	1308817.071	1304260.707	-1347655.253	-1519381.010	1294773.131	1295518.586	-1563654.747	-1515891.717	-1501925.657	-1547350.808	-1153840.101	-1544962.828	2016801.212	-1536903.030	1288775.758	-1531261.717	2016801.212	-1510149.899	1943871.515	-1140908.788	2016801.212	-1550172.424	-1579551.010	-1487637.071	
0.250	1307500.404	1302911.313	174790.303	308460.909	1293283.838	1293889.899	424708.283	341138.384	324878.182	372498.586	355431.818	364956.667	2016801.212	341574.646	1522113.838	319085.556	2016801.212	343261.616	2000436.667	1032497.576	2016801.212	419366.566	696491.313	284741.717	
0.258	1311445.152	1307514.343	1949831.616	1978443.838	1297856.768	1298561.919	1987048.081	1977875.960	1997346.061	2004392.323	2001116.566	2004983.939	2016801.212	2001742.121	2016801.212	1999782.020	2016801.212	1999423.131	2016801.212	2016801.212	2016801.212	2011523.636	2016801.212	1994021.515	
0.266	1308890.404	1304896.768	2016801.212	2016801.212	1295039.495	1295555.657	1994778.081	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	1476002.424	2016801.212	
0.273	1310752.323	1306546.465	1263543.434	791720.707	1297015.657	1297304.848	455620.000	757661.717	875963.838	679241.414	1464351.717	706689.495	2016801.212	755016.263	2016801.212	796869.192	2016801.212	837651.111	2016801.212	1045506.162	2016801.212	621323.030	-1061869.192	946641.111	
0.281	1307830.707	1303015.657	-1208352.020	-1465754.040	1293369.899	1293877.172	-1559056.263	-1472324.949	-1438627.273	-1515421.515	-985496.465	-1509261.111	2016801.212	-1493177.677	1420985.960	-1478563.434	2016801.212	-1453626.364	1981239.899	-227067.778	2016801.212	-1528274.444	-1668848.384	-1411615.960	
0.289	1310106.364	1305521.818	-134432.929	-10674.141	1295797.273	1296700.000	103191.919	21128.081	6930.606	46806.162	38609.293	39155.253	2016801.212	17545.152	1438539.798	-2246.768	2016801.212	25901.313	2000809.091	1545327.071	2016801.212	97546.566	402017.576	-38095.051	
0.297	1307369.798	1302858.182	1884632.828	1922447.172	1293024.444	1293815.657	1940932.626	1925002.020	1944484.040	1953952.626	1949801.111	1953936.061	2016801.212	1949108.990	2016801.212	1945823.131	2016801.212	1948164.949	2016801.212	2016801.212	2016801.212	1965295.354	2013776.667	1936791.919	
0.305	1308552.121	1304214.747	2016801.212	2016801.212	1294608.485	1295247.475	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	1717831.414	2016801.212	
0.313	1302218.889	1297603.434	1507758.182	1117092.424	1287473.737	1288199.293	818303.131	1087403.030	1194034.444	1026891.111	1667131.414	1051071.515	2016801.212	1093397.980	2016801.212	1128667.172	2016801.212	1160607.273	2016801.212	1225045.152	2016801.212	974254.646	-691996.061	1255627.172	
0.320	1308074.949	1303323.636	-995080.404	-1347042.525	1293497.576	1294284.141	-1490837.778	-1360278.485	-1308719.697	-1414193.131	-742979.495	-1404087.980	2016801.212	-1379956.970	1519412.929	-1358604.545	2016801.212	-1331280.707	1979122.020	-1226657.576	2016801.212	-1439718.788	-1729978.485	-1265269.293	
