C:\EngNCERP\eegdata\dat\vmehakfocus.NED	Frequency:	512Hz
²ÉÑù	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
0.027	11561.919	11698.990	-2016509.091	-2016509.091	11241.515	12217.071	-2016509.091	-2016509.091	-2016509.091	-1896058.283	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	483806.364	-2016509.091	484707.172	-2016509.091	484759.293	-2016509.091	485610.606	-2016509.091	483815.758	-2016509.091	485120.202	-2016509.091	484580.909	-2016509.091	485303.838	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-1936567.576	
0.029	15035.556	15149.697	-2016509.091	-2016509.091	15888.990	15768.485	-2016509.091	-2016509.091	-2016509.091	-1965974.747	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	454542.222	-2016509.091	455424.747	-2016509.091	455522.626	-2016509.091	456321.010	-2016509.091	454547.980	-2016509.091	455840.606	-2016509.091	455315.859	-2016509.091	456034.444	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2010536.061	
0.031	7400.808	7488.788	-1917691.313	-1933996.465	7923.939	7847.980	-1937238.081	-1923591.313	-1930556.061	-1670086.667	-1886893.333	-1931702.020	-1902454.242	-1904732.828	-1920308.586	-1966549.293	342992.121	-1909418.990	343800.101	-1944212.424	344000.404	-1770096.869	344701.111	-1867475.253	343008.687	-1917635.253	344209.798	-1959727.879	343756.061	-1939326.263	344435.253	-1947103.333	-1842930.202	-1939972.626	-1870620.707	-1719617.778	
0.033	27.879	19.697	-1175530.303	-1072644.646	56.162	60.505	-1086249.596	-1220473.131	-1197826.364	-1020190.101	-1005560.303	-1137472.424	-1084684.545	-1252614.444	-1175918.586	-1280675.152	105520.000	-1134492.626	106078.485	-1220696.970	106413.131	-1074885.455	106939.798	-895754.141	105549.091	-1099748.990	106481.414	-1277534.242	106116.465	-1176748.687	106651.818	-1266629.495	-1037669.394	-1190074.747	-1057810.909	-1066693.838	
0.035	-216.566	-238.687	-350405.657	-185078.889	-228.081	-216.566	-195097.677	-410843.232	-350717.980	-328599.596	-154275.354	-254599.394	-225671.515	-481597.576	-331999.596	-427769.899	21711.111	-287453.030	22106.768	-366348.283	22395.253	-338049.899	22862.121	-84211.313	21749.293	-224301.010	22499.394	-440719.697	22141.616	-297817.071	22556.869	-446735.152	-227984.444	-316257.475	-222279.697	-359841.111	
0.037	-228.081	-250.909	5860.808	24078.788	-238.889	-224.444	23858.384	-6400.505	3752.929	-1029.798	22988.384	16626.263	18951.515	-32239.091	6664.444	-8454.040	23635.960	11925.152	24034.141	2278.788	24291.818	119.899	24653.636	24431.515	23647.576	18468.788	24456.263	-14015.758	24003.535	12985.354	24457.172	-17628.990	17019.596	10276.768	18962.020	-6661.515	
0.039	-226.162	-351.212	38155.455	39713.737	-954.848	-225.657	39706.061	41104.242	36452.626	38329.697	35469.394	36734.141	35940.808	40805.859	36611.515	39259.091	41013.131	34581.818	41466.061	37051.212	41729.293	37331.313	42099.293	36439.394	41027.778	36032.626	41895.354	38266.061	41414.343	38015.556	41924.444	38803.333	34805.455	37302.222	37225.051	38536.970	
0.041	-670.404	-2066.970	-182501.515	-181864.646	-28503.434	-379.798	-185526.465	-138141.919	-144264.949	-90978.990	-189090.000	-148268.687	-173038.485	-49231.313	-148658.384	-109822.525	128475.960	-169469.899	129054.141	-138370.505	129278.889	-126827.475	129733.737	-194683.232	128516.869	-156198.384	129471.717	-112631.414	128975.051	-132355.354	129547.172	-111535.152	-171850.909	-131632.222	-150153.939	-91842.222	
0.043	-14431.212	-1539.495	-950225.859	-1070017.475	-104686.566	-4083.939	-1074259.394	-855542.424	-881307.980	-694367.677	-1062603.636	-944311.616	-989256.869	-675950.707	-890919.091	-807187.778	319538.283	-943456.263	320295.354	-873290.707	320469.899	-780435.657	321038.889	-1148725.758	319547.879	-971732.121	320735.960	-804887.374	320199.192	-898100.202	320869.899	-794744.242	-948563.131	-883112.929	-932777.071	-699725.960	
0.045	-4107.475	4558.687	-1751064.141	-1945174.040	-77546.566	3035.253	-1948703.434	-1644017.475	-1716606.970	-1388403.030	-1926919.899	-1823320.202	-1851031.818	-1446727.273	-1729065.960	-1638272.323	464951.212	-1783952.121	465832.828	-1714410.000	465960.909	-1522079.495	466701.616	-1994920.404	464935.152	-1850844.747	466274.949	-1625007.071	465705.152	-1771638.586	466445.354	-1602385.960	-1790052.626	-1748729.293	-1798970.606	-1406917.273	
0.047	2809.091	2867.273	-2016509.091	-2016509.091	-212.929	3117.475	-2016509.091	-2016509.091	-2016509.091	-1841079.293	-2016509.091	-2016509.091	-2016509.091	-1975057.677	-2016509.091	-2016509.091	479928.687	-2016509.091	480825.152	-2016509.091	480883.030	-1984492.121	481732.626	-2016509.091	479938.283	-2016509.091	481236.263	-2016509.091	480703.939	-2016509.091	481421.515	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-1877609.192	
0.049	3295.152	3370.202	-2016509.091	-2016509.091	3910.404	3768.485	-2016509.091	-2016509.091	-2016509.091	-1981226.768	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	454733.838	-2016509.091	455614.141	-2016509.091	455711.515	-2016509.091	456511.818	-2016509.091	454738.889	-2016509.091	456029.394	-2016509.091	455506.970	-2016509.091	456224.343	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	
0.051	2413.131	2476.566	-2016509.091	-2016509.091	2930.707	2821.616	-2016509.091	-2016509.091	-2016509.091	-1789521.818	-2001250.000	-2016509.091	-2008722.424	-2001631.717	-2016509.091	-2016509.091	378794.040	-2011610.404	379630.606	-2016509.091	379796.061	-1892997.273	380533.131	-1992051.919	378808.182	-2016509.091	380042.222	-2016509.091	379572.929	-2016509.091	380264.343	-2016509.091	-1963760.606	-2016509.091	-1985038.788	-1836525.556	
0.053	-110.505	-120.202	-1395859.192	-1334444.141	-54.242	-73.030	-1345915.960	-1429488.384	-1420555.859	-1204256.162	-1269390.303	-1381409.495	-1331358.586	-1446524.545	-1402378.990	-1494366.162	147870.606	-1367142.424	148381.414	-1443326.465	148637.172	-1269738.384	149056.667	-1182215.253	147890.303	-1349674.949	148697.980	-1489438.384	148397.475	-1409951.212	148864.848	-1476852.323	-1271104.141	-1421036.667	-1297556.566	-1251250.909	
0.055	-219.394	-236.768	-531537.374	-350666.768	-226.162	-212.727	-363204.545	-594113.636	-531388.586	-481590.303	-305966.061	-429056.061	-392459.798	-659145.758	-511519.192	-617108.687	7904.242	-461241.616	7956.566	-551469.495	8040.505	-498084.646	8031.616	-212637.071	7907.071	-392128.788	8025.859	-627677.576	7966.970	-475756.667	8025.152	-632132.020	-386964.141	-498430.404	-384803.636	-517022.020	
0.057	-227.576	-255.758	-46279.394	-6474.545	-242.525	-228.081	-7655.152	-68634.141	-45143.737	-51541.818	-3516.364	-18899.798	-14322.525	-105957.778	-40238.990	-69959.192	3132.626	-28305.354	3214.646	-49119.091	3320.202	-50636.970	3337.273	1970.505	3138.182	-13416.465	3355.051	-77935.556	3205.758	-27822.828	3322.828	-84456.061	-16848.384	-32970.404	-14277.576	-61653.030	
0.059	-229.091	-258.586	25620.000	25845.051	-268.485	-231.010	26014.040	26242.020	23260.707	23413.333	23523.030	23251.111	23587.677	23330.707	23559.091	24407.980	23666.566	22528.687	24031.717	23509.798	24270.404	23846.364	24573.838	23891.313	23676.869	22857.778	24436.061	23576.869	23992.020	23927.172	24427.172	23903.838	22865.051	23353.535	23875.455	23512.929	
0.061	-578.384	-5639.798	-83642.727	-77704.343	-26865.859	-1988.788	-80920.707	-53638.182	-59932.222	-26538.182	-84877.677	-58790.505	-75892.828	-5419.394	-61782.828	-34746.465	88007.980	-74902.121	88530.707	-53874.040	88771.818	-49699.394	89191.515	-84431.818	88036.869	-63391.414	88959.596	-37417.879	88460.909	-48310.606	89009.596	-37017.576	-76993.636	-48493.535	-60544.747	-26368.889	
0.063	-12456.970	-24960.101	-757651.616	-835213.434	-211022.020	-18908.687	-846825.152	-671361.414	-694844.545	-539588.283	-832011.919	-727151.818	-773825.960	-512087.778	-695105.455	-618815.556	267315.051	-737262.222	268025.657	-674834.343	268216.061	-610951.313	268754.848	-890184.949	267336.465	-747534.949	268463.232	-618550.202	267939.192	-689636.465	268583.636	-612754.040	-747295.455	-678678.182	-722529.293	-539321.717	
0.064	-24571.919	-1613.333	-1598888.586	-1805590.909	-242103.939	-8117.475	-1816332.424	-1486792.727	-1563957.677	-1251704.747	-1792795.657	-1664169.596	-1703167.980	-1286899.394	-1567450.202	-1469473.535	436791.313	-1624109.596	437653.333	-1546870.000	437802.222	-1372332.323	438492.828	-1876123.535	436772.525	-1695405.051	438102.727	-1457946.869	437533.434	-1607655.859	438269.293	-1438343.131	-1637326.566	-1582019.899	-1639554.343	-1262061.313	
0.066	17639.091	21047.576	-2016509.091	-2016509.091	-8370.808	21105.253	-2016509.091	-2016509.091	-2016509.091	-1768411.414	-2016509.091	-2016509.091	-2016509.091	-1886978.687	-2016509.091	-2016509.091	493082.828	-2016509.091	493987.273	-2016509.091	494054.343	-1910944.848	494898.586	-2016509.091	493088.586	-2016509.091	494401.919	-2015394.848	493857.677	-2016509.091	494582.929	-1999535.152	-2016509.091	-2016509.091	-2016509.091	-1800296.667	
0.068	49082.525	49242.626	-2016509.091	-2016509.091	50133.838	50031.919	-2016509.091	-2016509.091	-2016509.091	-1989609.798	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	490739.394	-2016509.091	491643.535	-2016509.091	491720.202	-2016509.091	492544.141	-2016509.091	490746.162	-2016509.091	492059.192	-2016509.091	491510.606	-2016509.091	492241.919	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	
0.070	32099.192	32263.333	-2016509.091	-2016509.091	33015.859	32901.414	-2016509.091	-2016509.091	-2016509.091	-1885372.525	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	449381.010	-2016509.091	450263.030	-2016509.091	450369.495	-1984407.475	451163.333	-2016509.091	449389.899	-2016509.091	450677.778	-2016509.091	450159.192	-2016509.091	450875.556	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-1927660.808	
0.072	4618.586	4652.020	-1594885.354	-1564101.212	4869.596	4824.141	-1570288.687	-1620711.515	-1611967.576	-1378437.374	-1505373.535	-1597710.606	-1548552.828	-1626148.485	-1602826.869	-1679823.030	244112.929	-1574100.505	244800.505	-1636470.505	245061.111	-1452655.152	245652.222	-1446072.828	244135.051	-1570698.586	245187.071	-1673752.323	244792.323	-1615677.172	245395.253	-1665128.081	-1479424.646	-1622403.232	-1512864.545	-1425348.889	
0.074	-208.889	-232.929	-731332.626	-548259.192	-216.061	-205.758	-561711.919	-795741.212	-725732.626	-652945.556	-494585.859	-635304.646	-588354.949	-852575.152	-712966.465	-819064.444	32331.919	-659324.141	32528.081	-753035.354	32712.727	-677157.071	32910.505	-382879.697	32347.273	-594262.424	32727.071	-828309.899	32560.505	-681117.778	32775.960	-835088.384	-571180.000	-704062.424	-578039.697	-691552.222	
0.076	-228.081	-255.253	-111005.051	-33537.273	-236.061	-226.667	-36490.404	-148703.030	-103935.960	-114721.010	-25662.323	-59678.586	-49583.333	-199698.586	-98998.384	-146090.404	-110.505	-76610.505	-112.929	-113669.697	-53.030	-113711.818	-87.980	-9590.404	-111.010	-48222.626	-69.697	-158603.434	-109.596	-76916.768	-93.232	-170600.505	-52910.505	-86447.071	-49809.697	-130670.101	
0.078	-238.889	-270.606	180.303	547.374	-248.788	-234.545	620.202	-1119.495	233.636	-551.414	601.919	541.818	625.960	-4926.061	278.788	-748.283	557.172	448.081	568.788	93.232	630.000	-295.455	573.838	603.636	557.475	507.677	620.404	-1480.606	565.152	567.980	593.939	-2420.606	547.374	507.172	590.606	-1116.667	
0.080	-246.162	-3908.687	-46217.677	-40033.434	-13481.818	-1065.152	-41743.232	-30265.859	-31876.566	-17136.162	-43260.909	-30256.768	-39276.970	-7732.323	-33176.667	-19706.869	33007.172	-40072.929	33290.909	-29127.576	33472.323	-28010.909	33683.232	-41540.808	33023.535	-32741.515	33593.030	-20998.081	33260.303	-25474.141	33587.071	-20962.222	-40960.909	-25543.131	-31376.061	-16930.202	
0.082	-2663.131	-28703.434	-563493.838	-605116.465	-160450.202	-11688.586	-614307.273	-490161.717	-502356.869	-387904.646	-600199.697	-518204.545	-559356.263	-361232.020	-503076.465	-441279.091	189336.162	-538246.364	189972.727	-485852.424	190188.384	-443505.253	190668.687	-636960.808	189365.960	-534511.414	190409.091	-440860.606	189904.444	-490928.586	190507.677	-437381.717	-544789.394	-482657.273	-517324.444	-386451.414	
0.084	-6367.778	-6675.758	-1415365.152	-1606279.798	-265827.475	-5254.242	-1617137.172	-1303790.000	-1369919.596	-1090361.616	-1593425.152	-1455988.081	-1500989.293	-1106102.323	-1370034.545	-1273917.374	379513.131	-1427009.798	380333.838	-1348019.293	380511.010	-1197562.424	381136.263	-1691960.808	379504.444	-1488840.303	380784.343	-1262781.818	380235.455	-1401769.293	380950.202	-1246967.071	-1440770.505	-1375998.687	-1434261.616	-1095046.465	
0.086	8033.535	10023.333	-2016509.091	-2016509.091	-96257.980	10358.990	-2016509.091	-1944097.778	-1998814.444	-1676463.838	-2016509.091	-2016509.091	-2016509.091	-1776733.939	-2001188.384	-1947080.404	487338.182	-2016509.091	488238.485	-1991923.030	488320.404	-1817702.424	489148.586	-2016509.091	487342.525	-2016509.091	488658.182	-1933680.808	488112.929	-2016509.091	488840.404	-1914827.576	-2016509.091	-2013042.020	-2016509.091	-1701402.929	
0.088	5676.162	5782.424	-2016509.091	-2016509.091	4438.485	6224.747	-2016509.091	-2016509.091	-2016509.091	-1953350.707	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	473027.576	-2016509.091	473921.212	-2016509.091	473992.121	-2016509.091	474820.303	-2016509.091	473034.848	-2016509.091	474334.949	-2016509.091	473802.222	-2016509.091	474522.727	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-1992172.323	
0.090	1498.182	1560.909	-2016509.091	-2016509.091	1986.869	1868.081	-2016509.091	-2016509.091	-2016509.091	-1941536.263	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	431486.263	-2016509.091	432356.061	-2016509.091	432472.424	-2016509.091	433252.020	-2016509.091	431494.242	-2016509.091	432769.596	-2016509.091	432267.071	-2016509.091	432973.939	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-1984820.303	
0.092	8.081	16.061	-1788802.020	-1787439.697	136.970	81.212	-1793551.717	-1802317.576	-1807071.313	-1548058.081	-1733631.919	-1798540.303	-1761751.515	-1791959.495	-1794550.606	-1855023.232	274738.990	-1773556.566	275493.636	-1823027.879	275747.273	-1632879.293	276389.798	-1695183.434	274760.404	-1778150.404	275898.687	-1849124.949	275482.323	-1809939.798	276129.293	-1837050.606	-1692712.323	-1815418.081	-1723908.283	-1594510.404	
0.094	-210.101	-227.879	-972434.141	-817140.505	-208.182	-205.253	-833333.636	-1027847.677	-982507.475	-854913.535	-752287.677	-896226.768	-848459.899	-1070889.394	-960874.949	-1068231.313	73528.990	-907624.747	74051.818	-1002976.465	74385.051	-890016.364	74896.364	-624747.374	73561.616	-853207.374	74448.990	-1072338.788	74095.859	-937665.657	74605.758	-1070338.384	-815037.273	-962086.667	-827381.717	-895404.343	
0.096	-219.394	-243.030	-200435.354	-61121.515	-229.798	-218.283	-68494.949	-261004.949	-198220.101	-203170.202	-43131.515	-114659.192	-96647.879	-330800.202	-182282.222	-264050.606	43307.071	-142735.758	43760.505	-208292.222	44031.111	-200339.697	44480.202	989.697	43344.040	-92113.434	44159.495	-281727.273	43754.444	-143729.091	44227.778	-294900.000	-100606.869	-163446.061	-94561.212	-228996.364	
0.098	-219.697	-248.081	49541.717	55581.818	-239.192	-225.455	55768.889	42220.000	44909.596	41011.414	51438.990	49700.101	50662.020	23873.232	46562.323	39478.586	50865.152	47964.141	51338.485	44737.172	51593.333	43127.475	51984.242	51779.091	50885.556	49749.596	51766.162	35357.172	51276.162	49292.828	51796.970	32459.091	49613.131	47769.394	50743.737	37814.747	
0.100	-226.364	-550.202	69615.960	73398.687	-4372.222	-233.333	72793.333	78341.818	69360.606	78655.859	64444.141	70483.030	66165.354	84841.919	69210.808	77854.040	90360.404	64747.980	90904.848	71343.737	91139.798	71531.212	91569.596	65864.848	90410.101	68869.192	91325.152	76322.424	90803.434	73443.838	91379.495	76643.434	64565.960	73084.444	70383.333	78907.071	
0.102	-659.394	-11599.899	-331192.828	-344311.717	-103191.919	-4114.242	-352061.818	-266872.929	-279698.283	-180335.960	-351093.232	-286123.838	-323479.697	-137830.303	-282379.293	-218422.929	192337.879	-312458.384	192978.990	-265628.687	193179.495	-243752.626	193691.313	-369409.394	192382.323	-299249.899	193390.606	-222211.212	192885.455	-262900.101	193492.020	-221474.141	-317904.545	-256654.343	-288149.697	-180556.566	
0.104	-9171.616	-6618.081	-1195943.535	-1357194.040	-262274.040	-4099.293	-1370041.212	-1091587.980	-1140248.384	-901102.323	-1350889.192	-1214118.283	-1262402.525	-900270.606	-1142889.899	-1046951.414	366591.414	-1198390.303	367391.414	-1120748.990	367557.778	-1001609.091	368164.848	-1449464.949	366586.566	-1246793.737	367837.374	-1041582.727	367287.071	-1164486.162	367984.949	-1030316.667	-1211443.333	-1139242.323	-1197970.404	-905917.677	
0.105	-1736.162	5818.182	-1907374.848	-2016509.091	-122655.556	5572.323	-2016509.091	-1812288.081	-1883567.879	-1546160.505	-2016509.091	-1966982.727	-1986428.788	-1628282.323	-1890940.303	-1814603.131	477098.384	-1932472.525	477990.303	-1877823.838	478098.990	-1686830.808	478888.687	-2016509.091	477092.121	-1987430.808	478421.313	-1800418.788	477865.556	-1929919.192	478598.990	-1778707.172	-1939683.939	-1907620.808	-1947219.596	-1569248.485	
0.107	2115.758	2192.626	-2016509.091	-2016509.091	-471.818	2485.253	-2016509.091	-2016509.091	-2016509.091	-1913164.949	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	461599.293	-2016509.091	462482.727	-2016509.091	462562.121	-2016509.091	463386.465	-2016509.091	461608.182	-2016509.091	462897.273	-2016509.091	462373.838	-2016509.091	463087.677	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-1950579.091	
