C:\EngNCERP\eegdata\dat\vibtehajssvep.NED	Frequency:	512Hz
²ÉÑù	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
0.027	14054.444	14099.697	-1694229.495	-1901317.879	14433.535	14391.515	-1861745.657	-1962827.677	-1739918.485	-1935073.737	-1924668.990	-1834243.434	-1871000.505	-1879760.606	-1963035.152	-1869605.657	-1853341.111	-2016509.091	-1678817.879	-1873333.131	-1571020.909	-1732338.081	-1837351.616	-1887973.232	-1920118.687	-1889545.556	-1965573.737	-1845663.333	-1935567.475	-1887465.556	-1788831.818	-1936637.980	-1910340.202	-1893329.192	-1870413.232	-1920792.525	
0.029	-155.960	-171.616	-1041977.980	-1084498.182	-143.232	-145.152	-1171697.576	-1269358.384	-1071056.970	-1285013.434	-1195115.556	-944271.212	-1029519.697	-1024970.101	-1276842.626	-1001934.343	-1143142.626	-1536574.949	-994188.283	-1184934.949	-960259.293	-1092500.303	-947811.212	-1071645.758	-1172282.727	-1033480.909	-1270324.040	-1017086.465	-1250009.192	-1078588.788	-1148367.576	-1261488.485	-1199034.646	-1105119.798	-1120103.232	-1179329.697	
0.031	-213.232	-238.182	-302912.222	-199953.636	-225.657	-215.354	-346793.131	-367164.040	-313586.364	-435546.667	-305303.737	-124269.091	-170458.687	-156838.788	-368478.990	-146316.061	-316786.869	-410423.737	-263078.384	-357828.384	-279404.545	-342507.980	-124709.798	-196070.101	-276104.040	-158047.778	-350574.949	-179776.768	-379562.121	-203146.869	-385745.354	-397279.394	-318840.909	-226835.859	-261739.596	-288242.222	
0.033	-222.525	-245.354	17677.374	30109.394	-236.465	-223.535	15668.081	16408.485	14095.051	-2588.889	20538.586	28917.879	28576.061	29268.182	13464.949	29738.182	16264.040	19062.828	20029.697	9997.677	16324.343	8792.222	30083.131	27999.596	22977.980	28021.212	16997.273	27736.364	9021.313	27378.889	1169.293	5517.475	18465.859	25697.677	23879.495	21619.697	
0.035	-222.323	-248.283	124110.707	122612.525	-236.263	-219.697	124138.384	124460.707	113859.192	113800.505	114346.667	109950.404	112853.030	113441.616	114415.455	113656.970	113849.495	113403.838	114417.576	114185.354	114649.091	114606.364	111931.313	113882.727	113744.040	112552.525	114855.859	111058.485	114318.586	113593.535	114893.131	114842.626	113744.949	113031.212	114487.576	113936.364	
0.037	37.677	20.606	187534.141	5125.152	43.737	57.879	149276.465	165111.111	240510.505	238763.030	106452.525	-84788.990	-16922.222	-4357.980	189211.414	-11113.636	157853.333	305677.778	205885.859	202438.687	280351.010	253723.333	-68134.343	19283.232	105063.030	19434.444	189888.182	-58264.545	169423.737	29726.364	263190.505	184172.727	197383.939	35763.434	120057.980	116189.899	
0.039	7652.929	7741.919	-602476.263	-1014262.525	8029.899	7999.192	-714048.990	-727764.545	-440103.838	-467231.717	-793140.303	-1123813.434	-1020407.172	-1019931.717	-639556.465	-1031455.657	-671836.263	-93217.576	-537961.515	-579051.818	-233276.061	-391729.697	-1111463.333	-969492.525	-809423.333	-1001973.939	-646876.970	-1033023.131	-659003.939	-938494.343	-348098.081	-625257.980	-617066.162	-919968.081	-771111.818	-778259.697	
0.041	18245.455	18439.394	-1526375.051	-1926973.333	18964.949	18923.131	-1674503.636	-1754277.374	-1459885.051	-1550106.061	-1771734.343	-1969717.172	-1916240.707	-1931022.222	-1710653.434	-1935451.414	-1661927.778	-1602328.990	-1502637.273	-1611966.364	-1269756.263	-1429291.212	-1966123.131	-1893502.525	-1798530.909	-1931443.131	-1729128.687	-1898529.192	-1677458.182	-1870272.828	-1403674.747	-1655967.778	-1696046.162	-1852120.808	-1763206.162	-1774241.010	
0.043	70943.434	71141.010	-1942552.727	-2016509.091	71853.636	71814.848	-2016509.091	-2016509.091	-1937930.404	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-1948162.525	-2016509.091	-1722908.283	-1901001.515	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-1909286.263	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	
0.045	116877.677	117054.343	-2016509.091	-2016509.091	117820.505	117824.141	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-1850413.232	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	-2016509.091	
